fecha,apertura,maximo,minimo,cierre,volumen,openint
"2005-01-03","108.15000","108.59","106.93","107.32000","11693100","0"
"2005-01-04","107.45000","107.6","105.89","106.30000","10629200","0"
"2005-01-05","106.30000","106.78","105.71","105.71000","10889300","0"
"2005-01-06","106.13000","106.66","105.83","106.04000","8568900","0"
"2005-01-07","106.41000","106.5","105.63","105.84000","8555700","0"
"2005-01-10","105.84000","106.63","105.77","106.20000","6028200","0"
"2005-01-11","105.90000","105.91","105.27","105.52000","7594300","0"
"2005-01-12","105.58000","106.23","104.96","106.03000","10574600","0"
"2005-01-13","105.96000","106.1","104.81","104.95000","7671600","0"
"2005-01-14","105.13000","105.65","105.05","105.44000","5987300","0"
"2005-01-18","105.25000","106.29","105","106.16000","6601900","0"
"2005-01-19","106.15000","106.25","105.23","105.25000","6635800","0"
"2005-01-20","105.06000","105.48","104.58","104.76000","8665200","0"
"2005-01-21","104.95000","105.03","103.78","103.84000","7982400","0"
"2005-01-24","104.11000","104.31","103.62","103.75000","9879700","0"
"2005-01-25","104.09000","105.01","104.05","104.59000","9752500","0"
"2005-01-26","104.95000","105.25","104.68","104.79000","7853400","0"
"2005-01-27","104.45000","104.83","104.21","104.57000","8431500","0"
"2005-01-28","104.54000","104.65","103.76","104.44000","7814100","0"
"2005-01-31","104.98000","105.05","104.48","104.80000","5334200","0"
"2005-02-01","105.02000","105.64","104.84","105.40000","4809800","0"
"2005-02-02","105.46000","106.13","105.35","105.88000","4661200","0"
"2005-02-03","105.70000","105.95","105.44","105.92000","4840500","0"
"2005-02-04","105.80000","107.21","105.76","107.00000","6413300","0"
"2005-02-07","106.93000","107.27","106.91","107.01000","3710500","0"
"2005-02-08","107.06000","107.42","106.91","107.25000","5046600","0"
"2005-02-09","107.42000","107.48","106.63","106.74000","7445900","0"
"2005-02-10","107.03000","107.7","106.93","107.50000","5225800","0"
"2005-02-11","107.42000","108.39","107.14","108.09000","4726100","0"
"2005-02-14","108.01000","108.12","107.84","107.98000","3689300","0"
"2005-02-15","108.06000","108.61","107.92","108.47000","4716000","0"
"2005-02-16","108.28000","108.68","108.09","108.45000","4286000","0"
"2005-02-17","108.46000","108.56","107.67","107.72000","5746600","0"
"2005-02-18","107.48000","107.84","107.2","107.81000","4913900","0"
"2005-02-22","107.33000","107.67","105.99","106.01000","8991100","0"
"2005-02-23","106.35000","106.95","106.19","106.83000","6459300","0"
"2005-02-24","106.58000","107.55","106.36","107.41000","7124400","0"
"2005-02-25","107.43000","108.42","107.3","108.36000","4990500","0"
"2005-02-28","108.11000","108.98","107.26","107.70000","7471500","0"
"2005-03-01","107.76000","108.49","107.76","108.23000","5324700","0"
"2005-03-02","107.81000","108.69","107.74","108.07000","7641200","0"
"2005-03-03","108.42000","108.67","107.64","108.25000","8279900","0"
"2005-03-04","108.91000","109.61","108.65","109.54000","6125300","0"
"2005-03-07","109.39000","109.83","109.3","109.33000","4131700","0"
"2005-03-08","109.29000","109.52","108.96","109.16000","7533400","0"
"2005-03-09","108.83000","109.23","108","108.01000","5061800","0"
"2005-03-10","108.21000","108.73","107.74","108.47000","5215200","0"
"2005-03-11","108.49000","108.81","107.65","107.84000","3489500","0"
"2005-03-14","107.95000","108.16","107.58","108.14000","3475700","0"
"2005-03-15","108.39000","108.48","107.52","107.57000","3926400","0"
"2005-03-16","106.95000","107.11","106.19","106.35000","6534200","0"
"2005-03-17","106.56000","106.68","106.04","106.29000","4476300","0"
"2005-03-18","106.38000","106.44","105.44","105.96000","10707400","0"
"2005-03-21","106.04000","106.12","105.23","105.42000","7323200","0"
"2005-03-22","105.54000","106.03","104.5","104.53000","7073800","0"
"2005-03-23","104.49000","105.55","104.21","104.41000","7419100","0"
"2005-03-24","104.72000","105.15","104.35","104.44000","5058800","0"
"2005-03-28","104.60000","105.23","104.56","104.76000","4973700","0"
"2005-03-29","104.61000","105.13","103.86","104.07000","7664600","0"
"2005-03-30","104.18000","105.39","104.18","105.34000","5660200","0"
"2005-03-31","105.17000","105.32","104.8","104.99000","7393000","0"
"2005-04-01","105.43000","105.62","103.74","104.05000","7749800","0"
"2005-04-04","104.08000","104.82","103.46","104.22000","11560400","0"
"2005-04-05","104.29000","104.68","104.15","104.59000","4399600","0"
"2005-04-06","104.80000","105.24","104.72","105.02000","4537500","0"
